id,event_id,red_fighter_id,blue_fighter_id,bout_type,red_outcome,outcome_method,outcome_method_details,end_round,end_round_time,round_time_format,referee
0ea435ddf02deb60,13a0fb8fbdafb54f,275aca31f61ba28c,e1248941344b3288,UFC Lightweight Title Bout,W,KO/TKO,Kick to Head At Distance,1,3:06,5 Rnd (5-5-5-5-5),Marc Goddard
f23e9729b2b73c27,13a0fb8fbdafb54f,f1b2aa7853d1ed6e,767755fd74662dbf,Middleweight Bout,L,Decision - Majority,Derek Cleary 27 - 29. David Lethaby 28 - 28. Vito Paolillo 27 - 29.,3,5:00,3 Rnd (5-5-5),Jason Herzog
821960adf5bfa15c,13a0fb8fbdafb54f,d802174b0c0c1f4e,c21f26bbde777573,Light Heavyweight Bout,NC,Could Not Continue,Knee to head of grounded opponent,1,3:13,3 Rnd (5-5-5),Daniel Movahedi
7024385b5107bd4b,13a0fb8fbdafb54f,b07aed698fba8624,d317a5e2b3f88c5f,Middleweight Bout,W,KO/TKO,Punches to Head At Distance,1,2:07,3 Rnd (5-5-5),Lukasz Bosacki
ed3334d108b257a6,13a0fb8fbdafb54f,0fd5f4b838e890cc,a54660deb6a8489c,Bantamweight Bout,W,Submission,Guillotine Choke On Ground,1,1:13,3 Rnd (5-5-5),Marc Goddard
e9256316716499b8,13a0fb8fbdafb54f,c96d9178c9ed9e62,75353550928a7921,Flyweight Bout,L,Submission,Arm Triangle From Mount,3,3:03,3 Rnd (5-5-5),Jason Herzog
3c6fb6bf9b7afd40,13a0fb8fbdafb54f,3753714927f18437,0bc697c5936a2d0a,Lightweight Bout,L,Decision - Unanimous,Ben Cartlidge 28 - 29. Vito Paolillo 27 - 30. Clemens Werner 27 - 30.,3,5:00,3 Rnd (5-5-5),Daniel Movahedi
0d1af8c6a5793185,13a0fb8fbdafb54f,bbab3baf66128ae2,eb8d8c2a95cfccb8,Bantamweight Bout,NC,Could Not Continue,Low blow,2,0:15,3 Rnd (5-5-5),Lukasz Bosacki
43de9ff6064361e1,13a0fb8fbdafb54f,46d0a888d87d91ac,4e6738062d469256,Middleweight Bout,L,Decision - Unanimous,Derek Cleary 28 - 29. Darryl Ransom 28 - 29. Clemens Werner 28 - 29.,3,5:00,3 Rnd (5-5-5),Jason Herzog
75c5f923f966b53b,13a0fb8fbdafb54f,d80ee110748171ac,a72a2a769fa5a2be,Lightweight Bout,W,KO/TKO,Punch to Head At Distance,3,3:00,3 Rnd (5-5-5),Marc Goddard
b84c447bb74febe2,13a0fb8fbdafb54f,329e403448756217,8d11d9c13e2ccdf7,Featherweight Bout,L,Decision - Unanimous,Vito Paolillo 28 - 29. Darryl Ransom 28 - 29. Clemens Werner 28 - 29.,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki
18e5af00a8478a0e,13a0fb8fbdafb54f,6c9b66b43663f2f7,d05cb1e8d1b885d8,Women's Strawweight Bout,W,Decision - Unanimous,Derek Cleary 28 - 29. David Lethaby 28 - 29. Cezary Wojciechowski 28 - 29.,3,5:00,3 Rnd (5-5-5),Daniel Movahedi
