id,round,fighter_id,knockdowns_scored,total_strikes_landed,total_strikes_attempted,sig_strikes_landed,sig_strikes_attempted,sig_strikes_head_landed,sig_strikes_head_attempted,sig_strikes_body_landed,sig_strikes_body_attempted,sig_strikes_leg_landed,sig_strikes_leg_attempted,sig_strikes_distance_landed,sig_strikes_distance_attempted,sig_strikes_clinch_landed,sig_strikes_clinch_attempted,sig_strikes_ground_landed,sig_strikes_ground_attempted,takedowns_landed,takedowns_attempted,submissions_attempted,reversals_scored,control_time_seconds
0ea435ddf02deb60,1,275aca31f61ba28c,1,39,46,24,29,13,16,9,11,2,2,7,11,8,9,9,9,0,1,0,0,19
0ea435ddf02deb60,1,e1248941344b3288,0,11,18,4,6,0,1,1,1,3,4,3,5,1,1,0,0,0,0,0,0,49
f23e9729b2b73c27,1,f1b2aa7853d1ed6e,0,5,7,3,3,2,2,1,1,0,0,1,1,1,1,1,1,0,0,0,0,4
f23e9729b2b73c27,2,f1b2aa7853d1ed6e,0,12,19,11,18,5,9,3,5,3,4,11,18,0,0,0,0,0,0,0,0,0
f23e9729b2b73c27,3,f1b2aa7853d1ed6e,0,41,66,22,45,20,41,2,4,0,0,21,44,0,0,1,1,0,1,0,0,0
f23e9729b2b73c27,1,767755fd74662dbf,0,61,66,16,17,15,16,1,1,0,0,1,1,0,0,15,16,2,7,1,0,275
f23e9729b2b73c27,2,767755fd74662dbf,0,12,23,9,20,3,10,2,6,4,4,9,20,0,0,0,0,1,1,0,0,41
f23e9729b2b73c27,3,767755fd74662dbf,0,34,54,13,33,9,27,0,2,4,4,12,32,0,0,1,1,1,4,0,0,120
821960adf5bfa15c,1,d802174b0c0c1f4e,0,16,23,13,19,7,13,3,3,3,3,7,11,1,1,5,7,1,1,0,0,66
821960adf5bfa15c,1,c21f26bbde777573,0,17,30,14,27,4,15,1,2,9,10,14,27,0,0,0,0,0,0,0,0,0
7024385b5107bd4b,1,b07aed698fba8624,1,26,36,26,36,20,29,6,6,0,1,26,36,0,0,0,0,0,0,0,0,0
7024385b5107bd4b,1,d317a5e2b3f88c5f,0,12,16,12,16,3,6,1,1,8,9,12,16,0,0,0,0,0,0,0,0,0
ed3334d108b257a6,1,0fd5f4b838e890cc,0,5,11,5,11,2,7,2,2,1,2,5,11,0,0,0,0,0,0,1,0,3
ed3334d108b257a6,1,a54660deb6a8489c,0,1,3,1,3,0,2,0,0,1,1,1,3,0,0,0,0,0,1,0,0,7
e9256316716499b8,1,c96d9178c9ed9e62,0,34,46,20,31,10,19,9,11,1,1,14,25,4,4,2,2,1,1,0,0,100
e9256316716499b8,2,c96d9178c9ed9e62,0,33,35,6,6,6,6,0,0,0,0,0,0,0,0,6,6,0,0,2,0,0
e9256316716499b8,3,c96d9178c9ed9e62,0,4,6,4,6,3,5,1,1,0,0,0,2,4,4,0,0,0,0,0,0,43
e9256316716499b8,1,75353550928a7921,0,40,58,10,28,4,16,3,8,3,4,9,27,1,1,0,0,1,3,0,0,96
e9256316716499b8,2,75353550928a7921,0,60,65,3,3,3,3,0,0,0,0,0,0,0,0,3,3,1,1,0,0,296
